longitude,latitude
-80.2067175,26.700978499999998
-122.630908,45.536402
-47.796623,-15.776254
-43.9598225,-19.918692
-6.815333,53.15480650000001
-86.6364105,30.447682
1.1243690000000002,41.146019
-112.12467649999999,33.5528625
-80.0954175,8.421673
-86.27053950000001,45.001180000000005
-9.159994999999999,38.743614
-4.14293,50.402215
-118.9136565,34.4029385
-99.260819,18.933812
-4.674251,37.8476005
-83.1738665,32.6782075
-0.5830245000000001,51.40294
-0.29742999999999997,51.514752
-1.574246,52.2802965
-71.36345,42.370574
-117.9248925,33.8893475
9.942857499999999,49.778108
27.874292500000003,-26.1427115
-0.5830245000000001,51.40294
0.5115780000000001,52.2204505
4.9040535,52.354728
-84.53981250000001,39.137038000000004
-73.9685415,40.780709
-0.2527539999999999,51.3854455
-8.505348,41.204895
-75.77004099999999,42.746617
